title,company,salary,description,link
Data Scientist Specialist (Fintech),Monroe Consulting Group,None,"Data Scientist Specialist (Fintech) Sector: Monroe Information Technology Contact: Melvina Nathalia Contact Email: melvina@monroeconsulting.com Client: Monroe Consulting Group Location: Jakarta Salary: Negotiable Expiry Date: 22 June 2022 Job Ref: BBBH370575_1653270579   Executive recruitment company Monroe Consulting Group Indonesia is recruiting on behalf of a leading fintech company in Indonesia. Our respected client is seeking a highly competent professional for the job Data Scientist Specialist. The job is based in Jakarta, Indonesia.  Job Responsibility: Working in a team to build credit risk modelling, analytics and reporting for retail customer. Partner with product team to determine how technology help to detect and reduce risk. Analyze key metrics to determine risk. Help building the variety of data ingredients needed to do modelling effectively. Maintain the credit model platform which is utilised by the team and expected to provide advice and guidance on ongoing efficiency gains and new credit modelling methodology. Job Requirements: Minimum 1 year of experience working as Data Scientist at Banking, Financial Services / FinTech Company Bachelor degree in Computer Science, Mathematics, Statistics, or similar field. Experience using statistical computer languages (for example SQL, Python, R, Scala) to manipulate data and draw insights from large data sets. Strong problem solving and analytical skills.",https://id.indeed.com/rc/clk?jk=609ecbad08ad0454&fccid=3f1794f44884f1e5&vjs=3
Data Scientist,Binar Academy - External Project,None,"What you will do: Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions  Develop custom data models and algorithms to apply to data sets  Use predictive modelling to estimate traffic data and audience behaviour measurement  Coordinate with different functional teams to implement models and monitor outcomes  Assess the effectiveness and accuracy of new data source Binar Job Connect is currently looking for Backend Developer for our hiring partner, Waskita Karya , and many more. This opportunity will allow you to be hired and work for a reputable company.  If you are: Have a minimum experience of 2 years as Data Scientist  Expert in Excel, SQL, and Python programming  Excel in communication and data visualization skill (Tableau, Power BI)  Understand and able to implement the how-to data wrangling  Have a well demonstrated understanding in statistics and mathematics  Able to demonstrate and work with unstructred data  Familiar with Hive, Mahout, Bayesian, Network, etc  Nice to have skills: Machine Learning and AI",https://id.indeed.com/rc/clk?jk=d39a35b2db160e0f&fccid=3d586b1c449e9f06&vjs=3
Data Scientist - Driver Platform,GO-JEK,None,"Location Jakarta Work Type Permanent Application Posted September 15, 2021 About the Role   If you’re looking to be a part of a dynamic, highly analytical team who enjoys working with data, look no further. The Driver Platform team caters to drivers who are the backbone of the Gojek ecosystem. In this role you will focus on elevating drivers’ experience and ensuring that they have a cordial, hassle-free and mutually beneficial engagement with Gojek. You will thus be working in an area of high relevance and impact, building solutions that help drivers improve their income and have a top class experience on the Gojek app. You will be involved in solving the problems drivers’ face during the course of the day - the menace of traffic, the struggles of inclement weather, long wait times, the anxiety of not getting orders, following covid safety measures. You will help us track how our driver app and new features perform, how we can increase the performance/income/experience of our driver partners, and many more! What You Will Do Understand business concerns and formulate them as technical problems that can be solved using data and math/stats/ML Work with Product managers, Machine Learning Engineers, and Business Users to build, deploy, and scale Data Science solutions on Driver Experience and Earning related initiatives at Gojek that impact the driver’s livelihood Use your experience in Data Science, Machine Learning, Software Engineering, distributed systems to rapidly prototype and deploy the systems to production Work with Business teams to continuously refine, improve the systems to cater to ever-changing Gojek needs Analyze large volume data and generate insights that will be actionable Design and conduct experiments to measure the impact of ML solutions or product features launched on Gojek driver app What You Will Need Bachelor's/Master’s Degree in Computer Science, Statistics, Operation research or other quantitative fields, with at least 3 years of relevant experience Hands-on experience in Statistics/ML fundamentals and demonstrated experience in Python, SQL, and basic visualization tools Solid knowledge of Data Science and Machine Learning fundamentals, with proven experience to formulate Data Science solutions to business problems Ability to write clear and concise technical documentation Experience in taking Data Science models to production Expertise to conduct analysis independently for a business problem through data manipulation, formulation of hypotheses, design and statistical analysis of experiments to test them About the Team The Driver Platform data team is a 13+ member team consisting of data analysts, decision scientists and data scientists based in Jakarta and Bangalore. In collaboration with our business and product counterparts, we work towards enriching driver experience, their lifecycle and trust on Gojek platform. We do so by doing rigorous analyses, building decisioning systems and application of ML to improve our products. Rockstars in the team have already deployed ML driven features to enhance trust of drivers on the app. Our data marts and dashboards fuel the product roadmaps with insights, experiments and evidence. And how do we work and connect in the new WFH paradigm? Well - as seamlessly as our apps! Rest assured, working for Gojek drivers is a fun ride!",https://id.indeed.com/rc/clk?jk=73db3bf647fe26b6&fccid=35c79097c1f63f3d&vjs=3
Data Scientist,PT Majoo Teknologi Indonesia,None,"About the Role  As a Data Scientist, you will lead the initiatives to build a variety of data products to  improve the efficiency and the effectiveness of the existing business process from the  Marketing point of view. If you are a result-focused and innovative who also possesses  strong business acumen, we would like to meet you.  What will you do  Identify and analyze varied types of data to discover trends and patterns  Build data sets from multiple data sources  Effectively visualize data in a meaningful and informative way  Propose recommendations and findings based on your analyses to business leaders, executives, and key stakeholders  Uphold high standards of data ethics and the responsible use of data  Design & create machine learning models to solve business/product problems or requirements in ecommerce and digital marketing domains What will you need  Bachelor Degree from Computer Science/Mathematics/Statistics  3+ years of proven experience as a Data Scientist  Experience in creating complex transform jobs to cleanup and aggregate data  Experience in creating Machine Learning and connect it to Vertex AI tools (portofolio is a must)  Basic query knowledge to gather database before designing machine learning model  Able to build analytical predictive using regression and classification  Able to build Cluster Analysis  Analytical mindset and business acumen  Problem-solving aptitude  Excellent communication and presentation skills  For machine learning portofolio if you ever done the clustering model (unsupervised learning) will be a plus  Experience in developing deep learning model will be a plus",https://id.indeed.com/rc/clk?jk=6565c5614b8e802a&fccid=0065590b4cdda193&vjs=3
Data Scientist - Cartography,GO-JEK,None,"About the role  As a Data Scientist in Cartography’s Routing team, you will be involved in optimizing the routing platform that powers many of Gojek services (e.g Marketplace, Food or Logistics). Some areas include performing literature surveys, building low latency real time machine learning systems, scalable production grade python pipelines and working closely with the engineering team in optimizing the routing engine.  What You Will Do Work with Data Scientists, Product Engineers and Product Managers to build, deploy, and scale Data Science solutions for routing systems and Geospatial data Develop theoretical models to better understand our customers’ use-cases and needs Work with Product teams to continuously refine, improve the solutions to cater to ever-changing Gojek needs Deep-dive analysis to support business decisions  What You Will Need Bachelor’s/Master’s degree in a quantitative discipline including but not restricted to Statistics/ Econometrics/Mathematics/Physics/Computer Science At least 3 years of experience in implementing/deploying Machine Learning Algorithms Working knowledge of graph data structures or algorithms Understand ML algorithms under the hood Fair understanding of explainable Machine Learning, to develop insights for stakeholders Proficiency in a programming language (either R, Python, including classical ML libraries) Familiarity with SQL  Good To Have Preferably, has domain experience in Geospatial data. Experience in image/video analysis and computer vision models Experience in Graph Neural Networks Experience in remote development using cloud platforms (GCS, AWS, Azure) and data processing frameworks/ schedulers (Flink, Airflow) Experience in software engineering workflow (version control using Git, CI/CD) About the team  At the heart of Gojek’s businesses, we move things around. Whether that’s people, food, packages, or fresh groceries moving things around boils down to understanding the best route, understanding traffic, and understanding locations. The Cartography team is a platform team that surfaces mapping technologies needed by all internal product teams and business units within Gojek.  As Chicken Rice is to the people of Singapore, the Data team is to Cartography: providing the nourishment and power to sustain our business from the inside out. Our main responsibility is to build data products for ETA prediction, mapping errors detection, map-matching, location search and ranking, and reverse geocoding. One of our most successful implementations is the generation of new pickup points via unsupervised learning and NLP. We have deployed the pickup points generation and ETA prediction models in our main markets and are aiming at scaling it to the wider region.  While our team is based all over the region, we are a tight-knit group that is bonded by two things: how to grow our maps using strong machine learning, engineering automation, and strong operations and emphasize professional development around these areas . For real - our weekly conversations range from well, mapping and navigation to competing in friendly online gaming. But whether you like to play online games or you share our love for an afternoon tea/coffee break like us, we’d be stoked to have you join the fam!  About Gojek  Gojek is a Super App. It is one app for ordering food, commuting, digital payments, shopping, hyper-local delivery, and a dozen other products. We are Indonesia’s first decacorn. We are also the only Southeast Asian startup to be part of Fortune's list of 'Companies That Changed The World.'  Our Mission: To create and scale positive socio-economic impact for our customers, driver-partners, business, and MSMEs.  As of 2018, Gojek processed more than $9 billion in annualized gross transaction value across all markets where it operates - in Singapore, Vietnam, and Indonesia. We have the largest food delivery product in Asia (outside of China) and is the largest payments wallet in Southeast Asia.  Gojek contributed IDR 249 T to the Indonesian economy (equivalent to 2% of Indonesia's GDP in 2020). As of Q1 2021, the Gojek App witnessed over 190mn downloads by customers. The platform has over 2mn Driver Partners & ~900000 Merchant Partners across SEA.  About GoTo Financial  GoTo Financial brings secure, reliable, and user-friendly financial solutions to over 55 million monthly active users, more than 14 million merchants, and over 2.5 million driver-partners eager to benefit from the digital economy in the GoTo ecosystem.  GoTo Financial’s consumer services include GoPay, GoPayLater, and other financial services. We also serve businesses of all sizes through leading payment gateway Midtrans, Indonesia’s largest cloud POS network Moka and GoKasir. We also have the all-in-one merchant solution GoBiz, GoBiz Plus, GoStore, and Selly - available in Indonesia and Southeast Asia.  Gojek and GoTo Financial are committed to building a diverse and inclusive workplace and are equal opportunity employers. We do not discriminate on the basis of race, religion, national origin, gender, gender identity, sexual orientation, disability, age, education status, or any other legally protected status.",https://id.indeed.com/rc/clk?jk=1c48ce23d5ce59d7&fccid=35c79097c1f63f3d&vjs=3
Data Science Lead,Global Tiket Network,None,"Job Overview The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. A strong management and leadership skill is a must.   Responsibilities: Derive good communication with stakeholders to define business requirement related to data science Identify valuable data sources and automate collection process Build predictive models and machine learning algorithms Interpret patterns or trends from data into insight (tableau, presentation) Develop advance analytics models to solve business needs Identify business need and generate hypothesis based on business need Create planning and monitoring team performance. Develop, manage, and evaluate the team to achieve expected results.   Qualifications: Min. 7 years of experience as Data Scientist A Bachelor in Computer Science, Statistics, Mathematics, or another quantitative field Solid knowledge of data science and machine learning fundamentals, with proven experience in handling data science problems Experience in various type of data, for instance image, NLP and time series data Understand in data discovery process to generate insight for business acumen Experience with Cloud Technology, preferably Google Cloud Platform Proficient in programming skills, preferably using Python Have Good communication skills and comfortable in collaborating with a cross-functional team Have a good leadership skill Creative, innovative and having critical thinking   Skills Requirements Python Google Cloud Platform Data Scientist Nstance Image NLP Time Series Data",https://id.indeed.com/rc/clk?jk=0bf7fcec3bfe2b9c&fccid=86d817bdde43fd0e&vjs=3
Head of Data Science,Global Tiket Network,None,"Job Overview We are looking for a Head of Data Science who plays a leadership position in the data science department and is responsible for overseeing activities of the data science team ensuring proper execution of duties and alignment with the business’s overall vision. The Head of Data Science is responsible for the creation of new data science capabilities for the business by envisioning and executing strategies that will influence the improvement of the business’s performance by enabling informed decision making. The Head of Data Science proactively works with business executives and various departmental heads across the business in order to provide advanced analytic data modeling systems. The Head of Data Science designs and launches innovative and complex analytic models, utilizing a blend of contemporary and traditional data mining techniques, which can be applied to both structured and unstructured data sets.   Your main duties in flying with us:  Manages the business’s external data and analytics partners and plays a leading role in the development and design of the departmental vision, capabilities, infrastructure, and quarterly/annual roadmap for the launch of data sciences capabilities. Builds the business’s data science talent needs through role definition, recruitment, and development of a team of data scientists that will jointly move the business’s agenda forward. Plays a mentorship role to key data science positions, guiding them in them through the execution of their duties, and encouraging their professional growth. Creates standardized processes and provides guidance for the Data Scientist team in delivering analytics projects, including research, model development, quality assurance, and visualization. Scopes, designs, and implements AI/ML products to support the business’s numerous initiatives and programs with a view of achieving overall objectives and targets. In this position, the candidate matches and optimizes AI/ML products that are fundamental to the business’s products/services and will ultimately improve the consumer experiences. Collaborate with cross-functional teams to design, develop, and deliver AI/ML products/projects. Tasked with maintaining a deep understanding of the business’s marketplace dynamics. Candidate takes initiative and conducts exploratory data analyses and experimental designs, which will help the business to better understand trends and behavior within these markets and settle on the most suitable strategies to drive success and achievements of goals and targets. Present results to stakeholders and work towards creating valuable analytics products.   Mandatory belongings you must prepare: Min 12 years of experience manipulating large data sets and building statistical models that are valuable to the stakeholders. Strong problem-solving skills with an emphasis on business development. Excellent written and verbal communication skills with both internal team and external stakeholders. Experience in strategic, operational, and project management. Experience in leading high-performing data analyst teams leading through the successful performance of advanced quantitative analyses and statistical modeling that positively impact business performance. Experience in using statistical computer languages (Python, SQL, etc.) to manipulate data and draw insights from large data sets. Experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc. Experience in Machine Learning algorithms: Random Forests, regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc. Experience analyzing data from 3rd party providers: Google Analytics, Google Play, Amplitude, Adwords, Appsflyer, Facebook Insights, etc is a plus Experience in data visualization using: Tableau, Google Data Studio, D3, etc is a plus   Skills Requirements Leadership Python Sql Tableau Google Analytics Appsflyer Google Data Studio GLM/Regression Random Forest Boosting Trees Text Mining Social Network Analysis Google Play Amplitude Adwords Facebook Insights Project Management",https://id.indeed.com/rc/clk?jk=725f96a2e5c79a99&fccid=86d817bdde43fd0e&vjs=3
Data Scientist,SAH.co.id (PT Perupa Siber Informatika),None,"– Pelajar/Mahasiswa/Fresh Graduate – Mampu bekerjasama dengan tim – Kreatif, memiliki inisiatif dan mau bekerja keras – Memiliki Komputer an Akses Internet – Lokasi penempatan: WFH (Remote)  ""Waspada terhadap Modus Penipuan pada saat proses interview. Perusahaan tidak akan memungut biaya apapun dalam melakukan proses interview. Mohon segera melaporkan ke kami, jika pada saat Anda diundang untuk interview dan diminta untuk melakukan pembayaran dengan sejumlah uang.""  """"Please be aware of the Fraud Company. The company will never be collecting any payment in the process of interview. Please immediately report to us if there's any companies that collecting payment to the Jobseekers.""",https://id.indeed.com/rc/clk?jk=9dde7082f9ff3dd1&fccid=fa9144fd77b9fa8f&vjs=3
Data Scientist,Cybertrend,None,"Join the Cybertrend’s center of data science and AI excellence and create solution with real business value side by side with us! About the Role We are SmartCyber, member of Cybertrend, one of the leader data science consultants in Indonesia. At CYBERTREND, Delivery Department is one of our core capabilities in realizing solutions for clients. As DATA SCIENTIST, you will be part of the core team, in ensuring that our product and solution delivered to customers are designed and developed with highly scalable, reliable and maintainable system. Along with owning the entire life cycle of all CYBERTREND’s projects, analyse data from multiple angles, looking for trends that highlight problems or opportunities. We are looking someone with: A Bachelor’s Degree in Software Engineering, Computer Science, Information Systems, Mathematics, Statistics, or a similar field At least 5 years of experience as a Data Scientist/ Machine Learning Engineer, with solid understanding of Data Science and Machine Learning fundamentals and experience taking Data Science models into production Experience using Data Science technology, framework, tools and Algorithm (e.g., Machine learning / phyton / R / Data Mining / Statistics / K-NN / Naïve Bayes / SVM / Weka / SPSS / Sentiment Analysis / NLP) Proven experience in understanding Business needs and formulating Data Science solutions to solve the issues High-level experience in Data Mining High-level experience in one or more natural language processing topics: tagging, syntactic parsing word sense disambiguation, topic modelling; contextual text mining and application of deep learning to NLP High-level experience working with a wide range of predictive and decision models and data mining technique, as well as tools for developing such models Ability to communicate with business user to capture business data needs Strong analytical thinking and problem solving High-level written and verbal communication skills The work you’ll do: As part of cross-functional and work together with Sales, Presales and Product team to design and build end-to-end Data Science solutions Work closely with business to identify issues and use data to propose solutions for effective decision making Build algorithms and design experiments to merge, manage, interrogate and extract data to supply tailored reports to colleagues, customers or the wider organization Use machine learning tools and statistical techniques to produce solutions to problems Test data mining models to select the most appropriate ones for use on a project Horizon scan to stay up to date with the latest technology, techniques and methods Conduct research from which you’ll develop prototypes and proof of concepts Create Technical Proposal for Project Conduct knowledge acceleration to internal team What Cybertrend can offer you: The unique opportunity to work within data science and artificial intelligence solution for various industries – real world data science, AI, data management & governance experiences Investment in your personal growth and skill development (clear career paths, mentorship and coaching, learning development, etc) Attractive compensation and benefits packages Work from home support An open-minded culture with innovative, autonomous teams A clear set of company core values that guide everything we do: GROWTH mindset, SOLUTION oriented, INNOVATIVE achiever, COMPASSIONATE, GOTONG ROYONG and Cool & FUN Please send your Cover Letter + C.V",https://id.indeed.com/rc/clk?jk=fb3884ea1cedbae0&fccid=e105dccfbfdf6791&vjs=3
Data Scientist,NTT INDONESIA TECHNOLOGY,None,"Modelling data  Preparing data for analysis  Data analysis  Regression Analysis 2-3 years experience.  At least one of the following modelling software packages: MATLAB, R, SAS, SPSS.  At least one of the following scripting languages: C++, Java, Python.  Data visualisation using Tableau / Qlikview / D3.js  Demonstrating your ability to adapt quickly and manage an environment of rapid change and development, and lead others through this process",https://id.indeed.com/rc/clk?jk=bc9f995dcd19c384&fccid=dd6b8da5823f8fe1&vjs=3
Senior Data Scientist,KoinWorks,None,"We are looking for an individual who keeps updated with the latest technology, techniques, and methods and has the ability to make an impact to improve the lives of our customers. Responsibilities: Work closely with business users to identify issues and use data to propose solutions for effective decision making, Merge, manage, interrogate and extract data to supply tailored reports to stakeholders, lenders, borrowers, or the wider organization, Maintain clear and coherent communication, both verbal and written, to understand data needs and report results, Create clear reports that tell compelling stories about how lenders or borrowers work with the business, Conduct research for develops prototypes and proof of concepts.   Requirements: Know some programming languages such as R or Python, Have strong database design and coding skills, Proficient in using machine learning tools and statistical modeling concept i.e. Clustering, Linear or Non-Linear Models, Tree models, etc to produce solutions to problems, Familiarity with cloud tools such as Amazon S3 can also be beneficial, 4+ years of experience as a similar data scientist and a degree in quantitative fields.   If you think the above sounds fascinating, don’t hesitate to apply and send us your latest CV. Our team will get back to you at soonest. Thank you!",https://id.indeed.com/rc/clk?jk=aacdee5a272675ed&fccid=a6dab61fe3b78e32&vjs=3
Data Scientist,Traveloka,None,"Company Description Traveloka is a technology company based in Jakarta, Indonesia. Founded in 2012 by ex-Silicon Valley engineers and aims to revolutionize human mobility with technology. Today Traveloka is expanding its reach by operating in 8 countries and experimenting with new endeavors that will create large impact in the markets and industries we touch. Job Descriptions Translating business questions into a positivist research paradigm: testable hypotheses, clear metrics, and predefined acceptance criteria. Asking the tough questions, identifying what is critical, and challenging assumptions Selecting the appropriate statistical tests for the experimental outcomes and conducting the actual statistical analysis Managing and owning the entire experimentation process, from consulting the product owners, guiding UX specialists and user researchers, to designing and conducting the experiments, analysing the results, and communicating findings Working with your team to build the next generation of Traveloka's Experimentation Platform Mentoring others in experimental design and causal inference techniques Requirements Bachelors/Masters/PhD degree from top universities in a quantitative field, including the quantitative social/behavioral sciences (Psychology, Sociology, Statistics, Econometrics, Mathematics, etc.) Knowledge of experimental design, such as completely randomised designs, factorial designs, and randomised block designs Solid analytical and problem-solving skills to create data-driven insights Deep understanding of the relevant statistical concepts (frequentist and Bayesian) Experience in data extraction and transformation using SQL and/or Spark Experience in tools such as Python and R Prior experience in working with unstructured data and log/tracking data Good understanding of the Google Cloud Platform and some of its tools Knowledgeable in identifying and dealing with confounding variables is a plus",https://id.indeed.com/rc/clk?jk=33498ff5c9278df5&fccid=3de05aadd53064ae&vjs=3
Data Scientist,PERSOLKELLY Recruitment Indonesia,None,"Persyaratan  Proven experience as a Data Scientist min. 3 years in Saas industry/EduTech Experience in data mining Understanding of machine-learning and operations research Knowledge of SQL and Python and Familiarity with Scala, Java or C++ is an asset Experience using business intelligence tools and data frameworks Analytical mind and business acumen Strong math skills (e.g. statistics, algebra) Problem-solving aptitude Excellent communication and presentation skills Tanggung Jawab  Identify valuable data source and automate collection processes Analyze large amounts of information to discover trends and patterns Build predictive models and machine-learning algorithms Present information using data visualization techniques Propose solutions and strategies to business challenges Collaborate with engineering and product development teams Disclaimer: melamar pekerjaan di Karir.com tidak dipungut biaya",https://id.indeed.com/rc/clk?jk=e19aad310a17e2c5&fccid=8ec5dcef1e43798c&vjs=3
Data Scientist,FinAccel,None,"As a Data Scientist you’ll be part of a team that is working on cutting edge machine learning models. You will work side by side with Analysts and Machine Learning Engineers and take full ownership of your work – from the initial idea-generation phase to the implementation of the final product. Our ideal candidate is result-focused, innovative, has a solid quantitative background and a good business understanding.   About the role: Working in a multi-disciplined team where you’ll take full ownership of turning discoveries and ideas into machine learning models. Prototyping diverse machine learning models, from credit scoring to recommendation engine. Researching & Development on how to improve our models, by using our vast amount and unique set of data. Actively contribute to taking Data Science at FinAccel to the next level.   About you: Minimum 2 years of relevant work experience. Masters, PhD or equivalent experience in a quantitative field (i.e). Computer Science, Mathematics, Statistics, Econometrics, Engineering, Artificial Intelligence). Capable to build robust end-to-end predictive models using the latest Machine Learning techniques and methodologies. Proficiency in Python or R. Exposure to RDBMS (i.e. MySQL, PostgreSQL) and No-SQL platforms (i.e. S3). Excellent English communication skills.  ﻿Bonus points (optional) for: Experience with alternate data to evaluate credit risk. Experience in building end-to-end Deep Learning and/or NLP models.",https://id.indeed.com/rc/clk?jk=a6d93e0bf16a05c9&fccid=982b68e4306a94ec&vjs=3
Data Scientist - Risk Modelling Specialist,Indodana,None,"Company Description  Indodana (PT Artha Dana Teknologi) is a OJK-licensed financial technology company that operates a credit marketplace for peer-to-peer loans. Our mission is to achieve financial inclusion by enabling lenders to provide loans to the 100 million underbanked Indonesians. Leveraging sophisticated big data and artificial intelligence technologies, we connect hundreds of lenders with creditworthy borrowers every day. Our team has combined over 25 years of experience in world class financials, technology and payment companies, such as SoFi, LendingClub, Microsoft, Google, Bank Permata, and DOKU. Together, we are working hard to provide our borrowers with accessible loans and our investors with attractive returns.   Job Description  Working in a team to build credit risk modelling, analytics and reporting for retail customer Partner with product team to determine how technology help to detect and reduce risk. Analyze key metrics to determine risk. Help building the variety of data ingredients needed to do modelling effectively Maintain the credit model platform which is utilised by the team and expected to provide advice and guidance on ongoing efficiency gains and new credit modelling methodology.   Qualifications  Have an undergraduate degree in an analytical discipline (e.g. math, statistics), however other disciplines will be considered Have experience of using statistic tool such as R, Python SAS, SQL analytical tools or advanced MS Excel skills Willingness to get his/her hands dirty to build the data",https://id.indeed.com/rc/clk?jk=4956949d7be909eb&fccid=3b9f97716218c1d1&vjs=3
Data Analyst/Data Scientist,Dnalytics,None,"We are looking Energetic Candidate for Data Scientist/Data Analyst with : Bachelor of Engineering (Computer / Telecommunication), Computer Science / Information Technology, Mathematics, Statistics or equivalent. Have at least 1 year of experience in the appropriate field for this position (Fresh Graduates are welcome). Mastering Python and R. Understand Machine Learning well. Understand the concept of Data Mining well. Can work as a team and have a good team work skill. Can translate and understand scientific papers or jurnals. Able to work under pressure. Have good communication skills (oral and written) Able to speak English well (oral and written). Have the ability to solve problems. Honest, responsible and have a good work ethic. The roles and responsibilities for this position are: Good Analysis Skill of the Business process. Presentation Skill of technology products related to data (Data Warehouse, Data Analytics, and Data Visualization) Responsible to Create reports and documentation of customer case analysis Capable to do data retrieval and pre-processing from various sources Understand how to make business case analysis and how to utilize enterprise level data for business insight and give value for the company and for the client. Develop business and machine-learning model from data owned by the company and / or client. Job Types: Full-time, Contract Contract length: 12 months",https://id.indeed.com/company/Dnalytics/jobs/Data-Analyst-Data-Scientist-7e69eafc1623b0c8?fccid=ebe33d01ea174bf1&vjs=3
R&D Meals Scientist 1,Mondelēz International,None,"Job Description Are You Ready to Make It Happen at Mondelēz International? Join our Mission to Lead the Future of Snacking. Make It With Pride. Working as part of a cross functional team, you deliver the RDQ activities required to complete new product development, portfolio maintenance and/or productivity projects with an emphasis on meeting the desired consumer experience. How you will contribute With the support and guidance of a manager, you will organize and execute projects in line with RDQ, marketing and manufacturing requirements, effectively communicating status and risks. You will plan and conduct pilot plant and factory trials in accordance with good manufacturing practice and HACCP requirements and development activities (e.g. product shelf-life testing, designing for quality, consumer test preparation etc.). You will also write technical reports that will require the analysis and interpretation of results and that lead to conclusions and recommendations and create and maintain accurate consumer-led specifications. What you will bring A desire to drive your future and accelerate your career and the following experience and knowledge: Food science, science, or engineering ideally in a fast-moving consumer goods market Working on teams and independently with the guidance of a manager Prioritizing and managing activities Identifying problems proactively and creating and implementing solutions independently Applying fundamental technical understanding to interpret and analyze data to reach clear conclusions Communicating effectively verbally and in writing, including technical writing Putting the consumer at the heart of development activities More about this role Has education background bachelor degree in Food Engineering, Food Science Technology, Chemist. Has experience as R&D or food technologist. Fresh Graduate are welcome. No Relocation support available Business Unit Summary Mondelēz International in Southeast Asia is in five countries serving 19 markets with more than 18 nationalities and 7,500 employees. This group is emerging as one of the fastest growing regions in Asia, the Middle East and Africa, and we are proud of consistently producing high quality products in nine manufacturing sites. We are market leaders in key snacking categories, making and selling brands like Oreo and Tiger biscuits, Kinh Do mooncakes, Jacob’s crackers, Cadbury Dairy Milk chocolate, Tang powdered beverage, Halls candy and Eden cheese. We set the benchmark in being a responsible business and contributing to the communities in which we operate. Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law. Job Type Regular Product development Science & Engineering",https://id.indeed.com/rc/clk?jk=8fb24a42d5a4da7b&fccid=0ba2244fbaa16b6c&vjs=3
Data Product & Analytics,byOrange,None,"Who We Are Orange provides your personalized go-to pool of strategy planners, creatives, and technologists for your brand and campaign that aren't part of your daily routine. Strategic managers, content specialists, conceptual creatives, producers, SEO experts, product managers, and others are among the impact players who are held match-fit for your brand. What You'll Do: Drive initiative on Product Roadmap together with Data Scientist Propose cascading of data attributes that are impactful for the identification of unified user. Identify usable data for newly acquired data from Partners. Present to stakeholders with impactful insight from available data Determine potential data enrichment based on existing data from established data aggregators and publicly available data Support Data Engineer and Data Warehouse Engineer in translating business requirements for technical actions in the development of data platform with privacy-conscious that support ecosystem collaboration Conduct Pilot and Testing of MVP product based on criteria of successful product What You'll Need: At least has two years of experience as data analyst / business analyst / business intelligence with exposure to develop business dashboards from requirements, identifications of data sources, defining business metrics and visualization. Experience role in product development is a plus Have basic understanding on SQL language A problem solver with a can-do spirit with the ability to think strategically Excellent in translating business requirements into actionable pieces for technical team. Advanced in managing tight project timelines. HIlpWjgmRR",https://id.indeed.com/rc/clk?jk=6a4790236eb40653&fccid=5259241eeaaf6dbe&vjs=3
Data Scientist (Digital Banking),byOrange,None,"Responsibilities Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations. Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive knowledge of bank data structures and metrics, advocating for changes where needed for product development. Interact cross-functionally, making business recommendations (e.g., cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information. Research and develop analysis, forecasting, and optimization methods to improve the quality of bank's user facing products.  Minimum Qualifications Degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or equivalent practical experience. 2 years of work experience in data analysis related fields. Experience with statistical software (e.g.: Jupyter Notebook), programming languages (e.g., Python, R) and database languages (e.g., SQL).  Preferred Qualifications Master/PhD degree in a quantitative discipline. 4 years of relevant work experience, including expertise with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods. Applied experience with machine learning on large datasets. Experience articulating and translating business questions and using statistical techniques to arrive at an answer using available data. Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques. Demonstrated skills in selecting the right statistical tools given a data analysis problem. Effective written and verbal communication skills. pt9G4UJZ8N",https://id.indeed.com/rc/clk?jk=4aa4be55cb55143d&fccid=5259241eeaaf6dbe&vjs=3
